locality,region,Month,Room_nights_occupied,Room_nights_available,Takings_from_accommodation,Average_takings_per_room_night_occupied
BIG DESERT,Melbourne,7,3219.00,4960.00,464016.00,220
PORT SEA,Melbourne,July,,,,102
SWAN BAY,Melbourne,7,3680.00,5301.00,532882.00,144.81
Flemington,Melbourne,July,,,,
Moonee Ponds,Melbourne,July,,,,
Carlton,Melbourne,July,13696.00,21638.00,2205420.00,161.03
Docklands,Melbourne,July,33423.00,36673.00,6694453.00,200.30
East Melbourne,Melbourne,July,35421.00,46438.00,6601762.00,186.38
Melbourne,Melbourne,July,348968.00,398368.00,66478176.00,190.50
North Melbourne,Melbourne,July,3662.00,7285.00,513198.00,140.15
Parkville,Melbourne,July,6578.00,8277.00,838469.00,127.46
South Yarra - West,Melbourne,July,,,,
Southbank,Melbourne,July,93041.00,101277.00,25703815.00,276.26
Albert Park,Melbourne,July,37756.00,46440.00,5282644.00,139.91
South Melbourne,Melbourne,July,,,,
St Kilda,Melbourne,July,20131.00,25606.00,2658140.00,132.04
Prahran - Windsor,Melbourne,July,,,,
South Yarra - East,Melbourne,July,19107.00,23467.00,3815380.00,199.69
Toorak,Melbourne,July,,,,
Abbotsford,Melbourne,July,,,,
Carlton North - Princes Hill,Melbourne,July,,,,
Fitzroy,Melbourne,July,3206.00,4371.00,681795.00,212.66
Richmond (Vic.),Melbourne,July,5384.00,7626.00,867897.00,161.20
Yarra - North,Melbourne,July,,,,
Hawthorn,Melbourne,July,,,,
Hawthorn East,Melbourne,July,,,,
Kew,Melbourne,July,5368.00,7657.00,851580.00,158.64
Doncaster,Melbourne,July,,,,
Doncaster East,Melbourne,July,,,,
Blackburn,Melbourne,July,,,,
Box Hill,Melbourne,July,,,,
Burwood,Melbourne,July,,,,
Burwood East,Melbourne,July,,,,
Surrey Hills (East) - Mont Albert,Melbourne,July,,,,
Beaumaris,Melbourne,July,,,,
Brighton (Vic.),Melbourne,July,2983.00,4867.00,475414.00,159.40
Carnegie,Melbourne,July,,,,
Caulfield - North,Melbourne,July,,,,
Hughesdale,Melbourne,July,1739.00,2635.00,265809.00,152.85
Braeside,Melbourne,July,,,,
Cheltenham - Highett (East),Melbourne,July,,,,
Mentone,Melbourne,July,,,,
Moorabbin - Heatherton,Melbourne,July,,,,
Ivanhoe,Melbourne,July,,,,
Viewbank - Yallambie,Melbourne,July,,,,
Kingsbury,Melbourne,July,,,,
Preston,Melbourne,July,,,,
Reservoir - West,Melbourne,July,,,,
Bundoora - North,Melbourne,July,,,,
Mill Park - North,Melbourne,July,,,,
Thomastown,Melbourne,July,,,,
Airport West,Melbourne,July,,,,
Keilor,Melbourne,July,,,,
Coburg North,Melbourne,July,,,,
Fawkner,Melbourne,July,,,,
Sunbury - South,Melbourne,July,,,,
Broadmeadows,Melbourne,July,,,,
Campbellfield - Coolaroo,Melbourne,July,,,,
Gladstone Park - Westmeadows,Melbourne,July,,,,
Melbourne Airport,Melbourne,July,,,,
Tullamarine,Melbourne,July,,,,
Ferntree Gully,Melbourne,July,,,,
Rowville - South,Melbourne,July,,,,
Wantirna,Melbourne,July,,,,
Wantirna South,Melbourne,July,,,,
Croydon,Melbourne,July,1269.00,2511.00,143781.00,113.33
Ringwood,Melbourne,July,1566.00,2387.00,209253.00,133.62
Forest Hill,Melbourne,July,,,,
Nunawading,Melbourne,July,,,,
Doveton,Melbourne,July,,,,
Hallam,Melbourne,July,,,,
Narre Warren,Melbourne,July,,,,
Cranbourne,Melbourne,July,809.00,2914.00,92436.00,114.26
Dandenong,Melbourne,July,7037.00,10695.00,840056.00,119.38
Keysborough,Melbourne,July,,,,
Noble Park,Melbourne,July,,,,
Springvale,Melbourne,July,,,,
Ashwood - Chadstone,Melbourne,July,,,,
Clayton,Melbourne,July,1742.00,2356.00,237796.00,136.51
Glen Waverley - East,Melbourne,July,,,,
Glen Waverley - West,Melbourne,July,12966.00,16802.00,2521972.00,194.51
Mount Waverley - South,Melbourne,July,,,,
Mulgrave,Melbourne,July,,,,
Oakleigh - Huntingdale,Melbourne,July,,,,
Ardeer - Albion,Melbourne,July,,,,
Taylors Lakes,Melbourne,July,,,,
Williamstown,Melbourne,July,3719.00,4433.00,722493.00,194.27
Footscray,Melbourne,July,,,,
Caroline Springs,Melbourne,July,,,,
Melton,Melbourne,July,,,,
Melton South,Melbourne,July,,,,
Hoppers Crossing - North,Melbourne,July,,,,
Laverton,Melbourne,July,,,,
